exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time
191140.12,2,unique,False,375,95.04,5.87,75.0
191177.21,2,unique,False,460,95.04,5.83,92.0
191202.24,2,unique,False,265,95.04,5.96,53.0
191231.54,2,unique,False,315,95.2,6.03,63.0
191272.15,2,unique,False,410,95.12,5.76,82.0
191311.03,2,unique,False,365,95.08,5.86,73.0
191351.37,2,unique,False,406,95.04,5.77,81.2
191390.47,2,unique,False,452,95.28,5.81,90.4
191430.67,2,unique,False,453,95.08,5.82,90.60000000000001
191470.7,2,unique,False,457,95.04,5.82,91.4
191510.37,2,unique,False,448,95.08,5.8,89.60000000000001
191546.21,2,unique,False,409,95.16,5.77,81.80000000000001
191579.21,2,unique,False,281,95.0,6.03,56.2
191614.23,2,unique,False,398,95.12,5.74,79.60000000000001
191647.87,2,unique,False,293,95.0,5.99,58.6
191684.27,2,unique,False,403,95.24,5.76,80.60000000000001
191721.59,2,unique,False,401,95.2,5.76,80.2
191760.03,2,unique,False,411,95.08,5.77,82.2
191797.85,2,unique,False,407,95.04,5.77,81.4
191838.01,2,unique,False,351,95.28,6.0,70.2
191874.31,2,unique,False,280,95.12,5.9,56.0
191909.96,2,unique,False,307,95.04,5.97,61.400000000000006
191940.75,2,unique,False,296,95.0,5.9,59.2
191981.79,2,unique,False,322,95.04,5.91,64.4
192022.73,2,unique,False,292,95.0,6.02,58.400000000000006
192060.76,2,unique,False,318,95.12,5.97,63.6
192094.02,2,unique,False,280,95.0,5.97,56.0
192128.79,2,unique,False,314,95.12,5.97,62.800000000000004
192162.71,2,unique,False,287,95.16,6.0,57.400000000000006
192199.44,2,unique,False,329,95.08,5.89,65.8
192224.25,2,unique,True,281,95.08,6.03,56.2
192255.3,2,unique,True,295,95.04,5.91,59.0
192282.38,2,unique,True,269,95.0,6.01,53.800000000000004
192305.58,2,unique,True,276,95.04,5.93,55.2
192332.88,2,unique,True,280,95.04,6.04,56.0
192357.59,2,unique,True,284,95.04,5.92,56.800000000000004
192381.61,2,unique,True,275,95.0,5.91,55.0
192409.29,2,unique,True,280,95.12,6.04,56.0
192438.59,2,unique,True,307,95.08,6.06,61.400000000000006
192464.84,2,unique,True,293,95.12,5.91,58.6
192507.58,4,unique,False,166,95.0,11.6,33.2
