exec_time,NUM_UAVS,MODE,ALWAYS_COMMUNICATION,total_iter,total_cov_area,average_inst_cov_area,mission_time
69919.75,3,unique,False,225,95.08,8.9,45.0
69968.06,3,unique,False,358,95.12,8.52,71.60000000000001
69998.16,3,unique,False,195,95.04,8.82,39.0
70031.41,3,unique,False,227,95.08,8.7,45.400000000000006
70092.5,3,unique,False,365,95.04,8.5,73.0
70126.47,3,unique,False,205,95.16,8.92,41.0
70163.26,3,unique,False,230,95.28,8.88,46.0
70202.35,3,unique,False,211,95.0,8.78,42.2
70243.43,3,unique,False,222,95.08,8.87,44.400000000000006
70293.17,3,unique,False,352,95.12,8.46,70.4
70334.85,3,unique,False,188,95.04,8.5,37.6
70373.7,3,unique,False,196,95.16,8.77,39.2
70418.43,3,unique,False,232,95.16,8.76,46.400000000000006
70459.43,3,unique,False,208,95.08,8.84,41.6
70503.17,3,unique,False,208,95.08,8.86,41.6
70540.68,3,unique,False,198,95.08,8.82,39.6
70581.77,3,unique,False,195,95.2,8.75,39.0
70627.68,3,unique,False,227,95.0,8.67,45.400000000000006
70674.05,3,unique,False,227,95.04,8.76,45.400000000000006
70713.17,3,unique,False,182,95.08,8.68,36.4
70775.08,3,unique,False,202,95.32,8.69,40.400000000000006
70828.32,3,unique,False,196,95.0,8.72,39.2
70876.5,3,unique,False,187,95.36,8.7,37.4
70932.73,3,unique,False,204,95.0,8.78,40.800000000000004
70995.46,3,unique,False,224,95.12,8.84,44.800000000000004
71055.4,3,unique,False,204,95.12,8.76,40.800000000000004
71107.22,3,unique,False,222,95.04,8.53,44.400000000000006
71161.74,3,unique,False,211,95.04,8.88,42.2
71217.18,3,unique,False,207,95.04,8.77,41.400000000000006
71262.94,3,unique,False,188,95.0,8.47,37.6
71297.52,3,unique,True,217,95.0,8.67,43.400000000000006
71329.85,3,unique,True,190,95.12,8.37,38.0
71359.12,3,unique,True,189,95.04,8.63,37.800000000000004
71389.5,3,unique,True,197,95.12,8.78,39.400000000000006
71428.29,3,unique,True,214,95.12,8.62,42.800000000000004
71463.65,3,unique,True,208,95.28,8.88,41.6
71498.58,3,unique,True,210,95.16,8.64,42.0
71530.63,3,unique,True,203,95.04,8.85,40.6
71565.03,3,unique,True,207,95.04,8.6,41.400000000000006
71602.94,3,unique,True,207,95.08,8.84,41.400000000000006
71673.38,6,unique,False,122,95.0,16.31,24.400000000000002
71730.94,6,unique,False,113,95.12,16.84,22.6
71782.35,6,unique,False,104,95.16,16.7,20.8
71824.71,6,unique,False,100,95.12,16.25,20.0
71878.2,6,unique,False,104,95.0,16.59,20.8
71935.24,6,unique,False,107,95.08,16.55,21.400000000000002
71996.06,6,unique,False,127,95.0,16.57,25.400000000000002
72058.68,6,unique,False,121,95.44,16.89,24.200000000000003
72107.1,6,unique,False,107,95.2,16.88,21.400000000000002
72167.38,6,unique,False,125,95.12,16.87,25.0
72258.84,6,unique,False,126,95.0,16.88,25.200000000000003
72324.84,6,unique,False,101,95.12,16.21,20.200000000000003
72391.37,6,unique,False,97,95.08,16.57,19.400000000000002
72453.72,6,unique,False,98,95.0,16.1,19.6
